"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"3";"";"CAPKIT";"CAP-PTH-SMALL-KIT";"C5, C6, C7";"Capacitor";"";"";"";"";"";"";
"3";"";"MA03-1";"MA03-1";"PROBE1, PROBE2, PROBE3";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"MA04-1";"MA04-1";"BTOOTH";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"";"PINHD-1X2";"1X02";"LEDS";"PIN HEADER";"";"";"";"";"";"";
"4";".1UF";"CAPKIT";"CAP-PTH-SMALL-KIT";"C1, C2, C3, C4";"Capacitor";"";"";"";"";"";"";
"1";"0-20K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R2";"Resistor";"";"";"";"";"";"";
"1";"1.0UF";"CAPKIT";"CAP-PTH-SMALL-KIT";"C8";"Capacitor";"";"";"";"";"";"";
"1";"10K";"R-TRIMM3296Y";"RTRIM3296Y";"R1";"Trimm resistor";"";"";"";"";"";"";
"3";"10K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R3, R4, R5";"Resistor";"";"";"";"";"";"";
"1";"16 pin";"PINHD-1X16";"1X16";"LCD";"PIN HEADER";"";"";"";"";"";"";
"1";"1K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R7";"Resistor";"";"";"";"";"";"";
"2";"1N4004";"1N4004";"DO41-10";"D1, D2";"DIODE";"";"";"";"";"";"";
"1";"20-30";"RESISTORPTH-1/2W";"AXIAL-0.5";"R10";"Resistor";"";"";"";"";"";"";
"2";"220";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R9, R11";"Resistor";"";"";"";"";"";"";
"1";"2K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R8";"Resistor";"";"";"";"";"";"";
"1";"4.7K";"RESISTORAXIAL-0.3";"AXIAL-0.3";"R6";"Resistor";"";"";"";"";"";"";
"1";"555";"MA04-1";"MA04-1";"RELAY";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"1";"ARDUINO_R3_SHIELD_ICSP";"ARDUINO_R3_SHIELD_ICSP";"UNO_R3_SHIELD_ICSP";"J1";"Arduino R3 Shield Footprint w/ 6-pin (2x3) ICSP Header";"";"";"";"";"";"";
"1";"P-CHANNEL-MOSFET";"P-CHANNEL-MOSFET";"SOT23-3";"U2";"P-Channel MOSFET Mode Field Effect Transistor";"";"";"";"";"";"";
"1";"SN74HC595N";"SN74HC595N";"DIP254P762X508-16";"U1";"8-BIT SHIFT REGISTERS WITH 3-STATE OUTPUT REGISTERS";"";"SN74HC595N";"9591664";"60K6845";"PDIP-16";"Texas Instruments";
